FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,SPIELPLATZ_DETAIL,TYP_DETAIL,SE_ANNO_CAD_DATA
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c92,492339,POINT (16.335277598960214 48.21350989387257),PA Yppenplatz,16,"Basketball, Drehen, Fußball, Klettern, Rutschen, Sandspielen, Schaukel, Themenspiel Obst/Markt, Tischtennis, Volleyball, Wippen","Ballspielkäfig, Ballspielplatz, Themenspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c91,492340,POINT (16.24873490738476 48.202647943072016),Ferdinand-Wolf-Park,14,"Balancieren, Basketball, Fußball, Karussel, Klettern, Rutschen, Sandspielen, Schaukeln, Spielhaus, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c90,492341,POINT (16.25215190333432 48.201619097599476),Ferdinand-Wolf-Park,14,"Klettern, Rutschen, Sandspielen, Schaukeln, Seilbahn, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c8f,492342,POINT (16.417413930986974 48.18062930591126),PA Lorenz-Reiter-Straße,11,"Basketball, Fußball, Klettern, Rutschen, Schaukeln, Seilbahn, Tischtennis","Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c8e,492343,POINT (16.296503398927488 48.142220947708445),PA Anton-Heger-Platz,23,"Karussell, Sandspielen, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c8d,492344,POINT (16.31916178229236 48.21051184676681),PA Schuhmeierplatz,16,"Fußball, Klettern, Rutschen, Volleyball","Ballspielkäfig, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c8c,492345,POINT (16.386177863962157 48.17222788778275),Puchsbaumpark,10,"Fitness, Fußball, Rutschen, Sandspielen, Schaukeln","Ballspielkäfig, Generationenspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c8b,492346,POINT (16.37190255399665 48.21664839507311),Jonny-Moser-Park,1,"Basketball, Fußball, Volleyball",Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c8a,492347,POINT (16.246405395829523 48.210595293461424),PA Wolfersberg,14,Fußball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c89,492348,POINT (16.24734483195036 48.21070068405661),PA Wolfersberg,14,"Karussell, Klettern, Rutschen, Schaukeln",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c88,492349,POINT (16.247240620030126 48.20991441369818),PA Wolfersberg,14,"Klettern, Rutschen, Sandspielen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c87,492350,POINT (16.281010425880655 48.16585231985654),Andreas-Rett-Park,13,"Karussell, Spielhaus, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c86,492351,POINT (16.445175543344355 48.2288203555136),PA Schreinerweg,22,Fußball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c85,492374,POINT (16.374076726985507 48.2440160113985),Forsthauspark,20,"Klettern, Rutschen, Sand-Matsch, Schaukeln, Skaten, Streetball, Tischtennis, Wasserspiel, Wippen","Ballspielplatz, Skaterpark, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c84,492375,POINT (16.315374438661934 48.204208800962405),PA Mareschplatz,15,"Rutschen, Schaukeln, Spielhaus, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c83,492376,POINT (16.36341785748147 48.23059578704245),Anton-Schmid-Promenade/WP,20,"Drehen, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen",Kleinkinderspielplatz,
